Team,Less than 8ft. usage %,8-16 feet usage %,16-24 feet usage %,24+ feet usage %,Back Court Shots usage %,Avg. Shot Dis.(ft.),Opp. Avg. Shot Dis.(ft.),Avg. Made Shot Dis.(ft.),Opp. Made Avg. Shot Dis.(ft.),Avg. Missed Shot Dis.(ft.),Opp. Missed Avg. Shot Dis.(ft.),Season,Season Type,Match Count
Toronto Raptors,39.89,22.75,20.68,16.44,0.23,11.24,11.69,9.73,10.07,12.35,12.96,1998-1999,REG,50
Utah Jazz,45.37,17.15,26.66,10.69,0.12,10.23,11.74,8.48,9.85,11.75,13.07,1998-1999,REG,50
Washington Wizards,39.12,23.96,22.5,14.36,0.06,11.26,11.31,9.41,9.44,12.75,12.83,1998-1999,REG,50
Atlanta Hawks,44.06,22.58,17.45,15.72,0.2,10.51,10.76,8.66,9.25,12.04,11.95,1997-1998,REG,82
Boston Celtics,44.22,16.47,21.29,17.84,0.19,11.13,9.64,9.43,7.13,12.44,11.95,1997-1998,REG,82
Charlotte Hornets,44.49,20.21,21.09,14.06,0.15,10.38,10.87,8.84,8.84,11.73,12.64,1997-1998,REG,82
Chicago Bulls,38.17,22.9,24.84,13.93,0.17,11.25,11.19,9.29,8.93,12.85,12.9,1997-1998,REG,82
Cleveland Cavaliers,46.46,22.36,18.29,12.65,0.24,10.01,10.77,8.42,8.98,11.32,12.14,1997-1998,REG,82
Dallas Mavericks,33.84,21.6,27.15,17.26,0.14,12.32,10.72,10.93,8.64,13.35,12.47,1997-1998,REG,82
Denver Nuggets,37.3,22.01,26.74,13.78,0.17,11.59,11.17,9.54,9.1,13.05,13.03,1997-1998,REG,82
Detroit Pistons,41.18,25.64,18.47,14.61,0.11,10.57,11.82,8.37,10.03,12.38,13.26,1997-1998,REG,82
Golden State Warriors,40.93,23.85,25.16,9.83,0.24,10.81,10.63,8.95,8.83,12.12,12.06,1997-1998,REG,82
Houston Rockets,41.44,19.01,14.65,24.72,0.18,11.7,11.24,9.4,9.48,13.6,12.79,1997-1998,REG,82
Indiana Pacers,39.83,20.98,22.68,16.27,0.24,11.6,10.78,9.86,9.01,13.14,12.12,1997-1998,REG,82
Los Angeles Clippers,44.54,17.15,16.44,21.73,0.14,11.2,9.9,9.02,8.2,12.9,11.43,1997-1998,REG,82
Los Angeles Lakers,55.33,15.26,7.9,21.33,0.19,9.29,10.93,6.79,9.25,11.6,12.25,1997-1998,REG,82
Miami Heat,41.71,17.32,16.81,23.9,0.26,11.82,10.82,9.67,9.15,13.57,12.07,1997-1998,REG,82
Milwaukee Bucks,38.85,26.53,23.56,10.7,0.35,11.05,10.13,9.51,7.97,12.33,11.98,1997-1998,REG,82
Minnesota Timberwolves,39.99,21.01,26.25,12.56,0.19,10.99,11.04,9.5,9.15,12.25,12.56,1997-1998,REG,82
Brooklyn Nets,41.99,20.5,24.1,13.21,0.2,10.76,10.37,9.1,8.17,12.05,12.33,1997-1998,REG,82
New York Knicks,39.66,19.74,22.82,17.48,0.3,11.56,11.55,9.78,9.53,13,13.06,1997-1998,REG,82
Orlando Magic,40.35,17.82,27.85,13.72,0.25,11.3,10.42,9.26,8.57,12.83,11.95,1997-1998,REG,82
Philadelphia 76ers,46.63,23.31,17.46,12.45,0.14,9.86,11.1,7.93,9.31,11.41,12.56,1997-1998,REG,82
Phoenix Suns,40.6,22.4,19.23,17.63,0.15,11.13,10.73,9.17,8.9,12.85,12.17,1997-1998,REG,82
Portland Trailblazers,47.88,18.92,18.1,14.94,0.16,10.13,11.37,7.9,9.78,11.95,12.57,1997-1998,REG,82
Sacramento Kings,43.99,20.13,23.81,11.86,0.21,10.56,10.42,8.71,8.46,12.04,12.06,1997-1998,REG,82
San Antonio Spurs,48.79,20.23,17.31,13.58,0.1,9.74,11.08,7.89,9.81,11.38,11.97,1997-1998,REG,82
Oklahoma City Thunder,43.83,14.3,17.63,24.19,0.05,11.55,11.39,9.71,9.21,13.2,13.16,1997-1998,REG,82
Toronto Raptors,45.24,21.74,17.11,15.79,0.12,10.19,9.86,8.38,8.13,11.59,11.45,1997-1998,REG,82
Utah Jazz,46.36,16.78,26.07,10.65,0.13,9.98,11.74,8.43,10.07,11.47,13.06,1997-1998,REG,82
Memphis Grizzlies,47.5,18.95,19.88,13.47,0.2,10.14,11.18,8.2,9.43,11.77,12.78,1997-1998,REG,82
Washington Wizards,41.17,25.84,19.23,13.71,0.05,10.61,10.29,8.9,8.42,12.02,11.84,1997-1998,REG,82
Atlanta Hawks,40.95,16.55,25.08,17.19,0.22,11.57,10.61,9.93,9.29,12.89,11.62,1996-1997,REG,82
Boston Celtics,56.72,13.88,17.54,11.81,0.06,8.26,8.41,7.91,7.41,8.53,9.43,1996-1997,REG,82
Charlotte Hornets,51.9,14.16,24.73,9.12,0.09,9.07,8.58,9.61,8.76,8.59,8.42,1996-1997,REG,82
Chicago Bulls,35.86,25.4,28.98,9.72,0.04,11.33,10.63,10.23,9.08,12.31,11.83,1996-1997,REG,82
Cleveland Cavaliers,40.49,17.06,33.69,8.64,0.12,11.29,10.65,9.99,9.04,12.37,11.93,1996-1997,REG,82
Dallas Mavericks,42.74,20.57,27.02,9.46,0.22,10.65,11.06,8.81,9.42,12.08,12.44,1996-1997,REG,82
Denver Nuggets,38.13,19.02,29.31,13.38,0.15,11.86,9.96,10.42,8.72,12.98,11.05,1996-1997,REG,82
Detroit Pistons,38.05,22.79,22.13,16.9,0.13,11.44,11.59,9.93,10.26,12.74,12.65,1996-1997,REG,82
Golden State Warriors,42.26,19.35,29.05,9.27,0.08,10.93,11.09,9.15,9.14,12.42,12.85,1996-1997,REG,82
Houston Rockets,44.6,18.21,24.46,12.46,0.26,10.95,11.07,8.91,9.47,12.74,12.33,1996-1997,REG,82
Indiana Pacers,45.19,22.03,23.28,9.34,0.16,10.01,11.1,8.7,9.68,11.1,12.22,1996-1997,REG,82
Los Angeles Clippers,44.37,18.91,26.49,10.05,0.18,10.51,9.87,8.84,8.11,11.86,11.37,1996-1997,REG,82
Los Angeles Lakers,51.28,16.97,18.34,13.29,0.12,9.47,10.16,7.86,8.73,10.82,11.28,1996-1997,REG,82
Miami Heat,42.76,17.87,24.7,14.45,0.22,11.35,9.76,9.66,8.66,12.76,10.59,1996-1997,REG,82
Milwaukee Bucks,45.44,26.97,17.59,9.84,0.16,9.56,9.51,8.23,7.7,10.75,11.14,1996-1997,REG,82
Minnesota Timberwolves,41.65,20.48,29.42,8.25,0.2,10.6,9.89,9.09,8.45,11.87,11.08,1996-1997,REG,82
Brooklyn Nets,42.63,21.44,24.81,10.97,0.16,10.49,10.31,9.15,8.81,11.47,11.6,1996-1997,REG,82
New York Knicks,44.07,20.43,25.19,10.14,0.18,10.39,11.05,8.91,9.5,11.66,12.19,1996-1997,REG,82
Orlando Magic,44.41,16.04,27.91,11.41,0.25,10.91,9.96,8.97,8.12,12.42,11.53,1996-1997,REG,82
Philadelphia 76ers,49.12,18.23,19.09,13.37,0.19,9.6,9.84,7.74,8.19,11.03,11.32,1996-1997,REG,82
Phoenix Suns,43.34,20.33,28.17,7.96,0.19,10.58,10.64,8.61,8.91,12.31,12.16,1996-1997,REG,82
Portland Trailblazers,51.15,18.41,23.48,6.82,0.14,9.39,10.04,7.8,8.71,10.78,11.06,1996-1997,REG,82
Sacramento Kings,43.04,19.68,30.5,6.69,0.09,10.51,10.46,9.3,8.66,11.52,12.01,1996-1997,REG,82
San Antonio Spurs,49.4,15.46,26.5,8.62,0.03,9.5,10.39,7.93,8.91,10.73,11.69,1996-1997,REG,82
Oklahoma City Thunder,51.19,12.54,25.06,11.02,0.19,9.83,11.34,7.84,9.99,11.57,12.41,1996-1997,REG,82
Toronto Raptors,45.94,18.23,25.36,10.22,0.24,10.36,10.04,8.75,8.1,11.61,11.73,1996-1997,REG,82
Utah Jazz,47.12,18.87,27.28,6.64,0.08,9.64,11.45,8.08,9.92,11.24,12.65,1996-1997,REG,82
Memphis Grizzlies,43.42,20.69,25.06,10.66,0.17,10.43,9.93,8.59,8.04,11.86,11.63,1996-1997,REG,82
Washington Wizards,48.51,24.25,16.95,10.13,0.16,9.15,10.35,7.47,9.04,10.71,11.43,1996-1997,REG,82
